class,retro_templates
UNK,[#7;a:6]:[c;H0;D3;+0:5](:[#7;a:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4])-O-C-1(-C)-C.Cl-[c;H0;D3;+0:5](:[#7;a:6]):[#7;a:7]
UNK,[#8:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[c:6]>>[#8:1]-[C:2](=[O;D1;H0:3])/[CH;D2;+0:4]=[CH;D2;+0:5]/[c:6]
UNK,[#7:5]-[C:4](=[O;D1;H0:6])-[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[NH;D2;+0:8]-[C:7]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]-[C:4](-[#7:5])=[O;D1;H0:6].[C:7]-[NH2;D1;+0:8]
UNK,[#16:4]-[N;H0;D3;+0:5](-[#7;a:6]:[c:7]:[#7;a:8])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#16:4]-[NH;D2;+0:5]-[#7;a:6]:[c:7]:[#7;a:8]
UNK,[#7:4]-[C:5](=[O;D1;H0:6])-[C@H;D3;+0:7](-[C:8])-[NH;D2;+0:9]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7:4]-[C:5](=[O;D1;H0:6])-[C@H;D3;+0:7](-[C:8])-[NH2;D1;+0:9]
UNK,[c:8]:[c;H0;D3;+0:7](:[c:9])-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Br-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.C-C1(-C)-O-B(-[c;H0;D3;+0:7](:[c:8]):[c:9])-O-C-1(-C)-C
UNK,[#16:3]-[C:2]-[C;H0;D3;+0:1](-[C:4]-[C:5](-[#8:6])=[O;D1;H0:7])=[N;H0;D2;+0:8]-[O;D1;H1:9]>>O=[C;H0;D3;+0:1](-[C:2]-[#16:3])-[C:4]-[C:5](-[#8:6])=[O;D1;H0:7].[NH2;D1;+0:8]-[O;D1;H1:9]
UNK,[#7:6]-[c;H0;D3;+0:7]1:[n;H0;D2;+0:8]:[c;H0;D3;+0:2](-[c;H0;D3;+0:3](:[c:4]):[c:5]):[cH;D2;+0:1]:[s;H0;D2;+0:9]:1>>Br-[CH2;D2;+0:1]-[C;H0;D3;+0:2](=O)-[c;H0;D3;+0:3](:[c:4]):[c:5].[#7:6]-[C;H0;D3;+0:7](-[NH2;D1;+0:8])=[S;H0;D1;+0:9]
UNK,[#7;a:4]:[#7;a:3]:[c;H0;D3;+0:1](:[c:2])-[NH;D2;+0:5]-[c:6]>>Cl-[c;H0;D3;+0:1](:[c:2]):[#7;a:3]:[#7;a:4].[NH2;D1;+0:5]-[c:6]
UNK,[#16;a:6]:[c:5]:[c:3](:[#7;a:4])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:10]-[C@H;D3;+0:8](-[C:7])-[C;D1;H3:9]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[#7;a:4]):[c:5]:[#16;a:6].[C:7]-[C@H;D3;+0:8](-[C;D1;H3:9])-[NH2;D1;+0:10]
UNK,[C:2]-[C@H;D3;+0:1](-[c:3])-[N;H0;D3;+0:6](-[C:5]=[O;D1;H0:4])-[C:7]=[O;D1;H0:8]>>O-[C@@H;D3;+0:1](-[C:2])-[c:3].[O;D1;H0:4]=[C:5]-[NH;D2;+0:6]-[C:7]=[O;D1;H0:8]
UNK,[#7:2]=[C;H0;D3;+0:1](-[C:3])-[n;H0;D3;+0:5](:[#7;a:4]):[c:6]>>Cl-[C;H0;D3;+0:1](=[#7:2])-[C:3].[#7;a:4]:[nH;D2;+0:5]:[c:6]
UNK,[C;D1;H2:4]=[C:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:5]-[c:6]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C;D1;H2:4].[NH2;D1;+0:5]-[c:6]
UNK,[#7;a:2]-[C:3]-[C@@;H0;D4;+0:4](-[#8:5])(-[C:6])-[C;D1;H3:7].[C:8]-[N;H0;D3;+0:9](-[CH3;D1;+0:1])-[c:10]>>O=[CH2;D1;+0:1].[#7;a:2]-[C:3]-[C@@;H0;D4;+0:4](-[#8:5])(-[C:6])-[C;D1;H3:7].[C:8]-[NH;D2;+0:9]-[c:10]
UNK,[C:5]/[C:4]=[C:3]/[CH2;D2;+0:1]-[OH;D1;+0:2]>>C-C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])/[C:3]=[C:4]/[C:5]
UNK,[#7;a:1]:[c:2]:[c:3]-[CH;D3;+0:4](-[OH;D1;+0:5])-[CH2;D2;+0:7]-[C;D1;H3:6]>>[#7;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5].[C;D1;H3:6]-[CH2;D2;+0:7]-[Mg+]
UNK,[#7;a:8]:[c:7]1:[c:5](:[#7;a:6]):[#7;a:4]:[c:3]:[#7;a:2]:[c;H0;D3;+0:1]:1-[NH;D2;+0:10]-[C:9]>>Cl-[c;H0;D3;+0:1]1:[#7;a:2]:[c:3]:[#7;a:4]:[c:5](:[#7;a:6]):[c:7]:1:[#7;a:8].[C:9]-[NH2;D1;+0:10]
UNK,[#7;a:4]:[n;H0;D3;+0:5](:[c:6])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[#7;a:4]:[nH;D2;+0:5]:[c:6]
UNK,[#7;a:2]:[c:3]-[O;H0;D2;+0:4]-[CH3;D1;+0:1]>>I-[CH3;D1;+0:1].[#7;a:2]:[c:3]-[OH;D1;+0:4]
UNK,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[C@H;D3;+0:5](-[c:6])-[c:7]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[C@@H;D3;+0:5](-[c:6])-[c:7]
UNK,[#16;a:1]:[c:2]-[NH;D2;+0:3]-[C;H0;D3;+0:4](=[O;D1;H0:5])-[NH;D2;+0:6]-[#7:7]-[C:8]=[O;D1;H0:9]>>[#16;a:1]:[c:2]-[N;H0;D2;+0:3]=[C;H0;D2;+0:4]=[O;D1;H0:5].[NH2;D1;+0:6]-[#7:7]-[C:8]=[O;D1;H0:9]
UNK,[#16:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[#7:2])=[O;D1;H0:3]>>C-O-[C;H0;D3;+0:1](-[#7:2])=[O;D1;H0:3].[#16:4]-[NH2;D1;+0:5]
UNK,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[C@H;D3;+0:5]1-[C:6]-[C:7]-[C@H;D3;+0:8](-[#7:9]-[C:10]=[O;D1;H0:11])-[C:12]-[C:13]-1>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[C@H;D3;+0:5]1-[C:6]-[C:7]-[C@H;D3;+0:8](-[#7:9]-[C:10]=[O;D1;H0:11])-[C:12]-[C:13]-1
UNK,[C:4]-[C@@H;D3;+0:5]1-[C:6]-[C:7]-[C@H;D3;+0:8](-[C:9])-[C:10]-[C:11]-1.[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3].[C:4]-[C@@H;D3;+0:5]1-[C:6]-[C:7]-[C@H;D3;+0:8](-[C:9])-[C:10]-[C:11]-1
UNK,[C:2]-[NH;D2;+0:1]-[C;D1;H3:3]>>F-C(-F)(-F)-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C;D1;H3:3]
UNK,[#7;a:8]:[c:9]-[NH;D2;+0:10]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]1:[#7;a:4]:[#7;a:5]:[#7;a:6]:[c:7]:1>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]1:[#7;a:4]:[#7;a:5]:[#7;a:6]:[c:7]:1.[#7;a:8]:[c:9]-[NH2;D1;+0:10]
UNK,[c:2]:[c;H0;D3;+0:1](:[c:3])-[c;H0;D3;+0:4]1:[c:5]:[c:6]:[#8;a:7]:[c:8]:1>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4]2:[c:5]:[c:6]:[#8;a:7]:[c:8]:2)-O-C-1(-C)-C
UNK,[C:3]-[C@@H;D3;+0:4]1-[C:5]-[N;H0;D3;+0:6](-[CH2;D2;+0:1]-[C:2])-[C:7]-[C@@H;D3;+0:8]-1-[O;D1;H1:9]>>O=[CH;D2;+0:1]-[C:2].[C:3]-[C@@H;D3;+0:4]1-[C:5]-[NH;D2;+0:6]-[C:7]-[C@@H;D3;+0:8]-1-[O;D1;H1:9]
UNK,[C:6]-[NH;D2;+0:7]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]-[c:5]>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[C:3]=[C:4]-[c:5].[C:6]-[NH2;D1;+0:7]
UNK,[#8:2]-[C@H;D3;+0:1](-[C:3])-[O;H0;D2;+0:4]-[c:5]>>Br-[C@@H;D3;+0:1](-[#8:2])-[C:3].[OH;D1;+0:4]-[c:5]
UNK,[#7;a:4]:[c:5]:[n;H0;D3;+0:6](:[c:7])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>O-B(-O)-[c;H0;D3;+0:1](:[c:2]):[c:3].[#7;a:4]:[c:5]:[nH;D2;+0:6]:[c:7]
UNK,[#7:3]-[C:2](=[O;D1;H0:4])-[CH2;D2;+0:1]-[n;H0;D3;+0:8](:[#7;a:9]):[c:7]:[#7;a:6]:[#7;a:5]>>Cl-[CH2;D2;+0:1]-[C:2](-[#7:3])=[O;D1;H0:4].[#7;a:5]:[#7;a:6]:[c:7]:[nH;D2;+0:8]:[#7;a:9]
UNK,[#8:7]-[C:6](=[O;D1;H0:8])-[c:5]1:[#7;a:4]:[c:3]:[c:2]:[c;H0;D3;+0:1]:1-[c;H0;D3;+0:9](:[c:10]):[c:11]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1]2:[c:2]:[c:3]:[#7;a:4]:[c:5]:2-[C:6](-[#8:7])=[O;D1;H0:8])-O-C-1(-C)-C.I-[c;H0;D3;+0:9](:[c:10]):[c:11]
UNK,[C;D1;H3:2]-[S;H0;D4;+0:1](=[O;D1;H0:3])(=[O;D1;H0:4])-[NH;D2;+0:5]-[c:6]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[NH2;D1;+0:5]-[c:6]
UNK,[#16;a:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].O-B(-O)-[c;H0;D3;+0:4](:[#16;a:5]):[c:6]
UNK,[#7:5]-[C:6](=[O;D1;H0:7])/[CH;D2;+0:8]=[CH;D2;+0:1]/[c:2]:[c:3]:[#8;a:4]>>O=[CH;D2;+0:1]-[c:2]:[c:3]:[#8;a:4].[#7:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=P(-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1
UNK,[#16:4]-[NH;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>I-[c;H0;D3;+0:1](:[c:2]):[c:3].[#16:4]-[NH2;D1;+0:5]
UNK,[O;D1;H0:7]=[c;H0;D3;+0:6]1:[c:8]:[c:9]:[n;H0;D2;+0:10]:[c;H0;D3;+0:1](-[c;H0;D3;+0:2](:[c:3]):[c:4]):[nH;D2;+0:5]:1>>O=[CH;D2;+0:1]-[c;H0;D3;+0:2](:[c:3]):[c:4].[NH2;D1;+0:5]-[C;H0;D3;+0:6](=[O;D1;H0:7])-[c:8]:[c:9]-[NH2;D1;+0:10]
UNK,[C:2]-[C;H0;D3;+0:1](=[N;H0;D2;+0:6]-[O;D1;H1:7])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3](=[O;D1;H0:4])-[O;D1;H1:5].[NH2;D1;+0:6]-[O;D1;H1:7]
UNK,[c:2]-[CH2;D2;+0:1]-[c:3]>>O-[CH;D3;+0:1](-[c:2])-[c:3]
UNK,[#16;a:2]:[c;H0;D3;+0:1](:[c:3])-[S;H0;D2;+0:8]-[c:6](:[#7;a:7]):[c:5]:[#7;a:4]>>Cl-[c;H0;D3;+0:1](:[#16;a:2]):[c:3].[#7;a:4]:[c:5]:[c:6](:[#7;a:7])-[SH;D1;+0:8]
UNK,[C:3]-[NH;D2;+0:4]-[CH2;D2;+0:1]-[C:2]>>Cl-[CH2;D2;+0:1]-[C:2].[C:3]-[NH2;D1;+0:4]
UNK,[c:5]-[S;H0;D2;+0:4]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Cl-[c;H0;D3;+0:1](:[c:2]):[c:3].[SH;D1;+0:4]-[c:5]
UNK,[#7:1]-[C:2](=[O;D1;H0:3])-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[c:6]>>[#7:1]-[C:2](=[O;D1;H0:3])-[CH;D2;+0:4]=[CH;D2;+0:5]-[c:6]
UNK,[C;D1;H3:6]-[c;H0;D3;+0:7]1:[n;H0;D2;+0:8]:[c;H0;D3;+0:2](-[c;H0;D3;+0:3](:[c:4]):[c:5]):[cH;D2;+0:1]:[s;H0;D2;+0:9]:1>>Br-[CH2;D2;+0:1]-[C;H0;D3;+0:2](=O)-[c;H0;D3;+0:3](:[c:4]):[c:5].[C;D1;H3:6]-[C;H0;D3;+0:7](-[NH2;D1;+0:8])=[S;H0;D1;+0:9]
UNK,[#16;a:1]:[c:2](:[#7;a:3])-[NH;D2;+0:4]-[C;H0;D3;+0:5](=[O;D1;H0:6])-[N;H0;D3;+0:10](-[C:9]-[C:8]#[C;D1;H1:7])-[C:11]-[C:12]=[O;D1;H0:13]>>[#16;a:1]:[c:2](:[#7;a:3])-[N;H0;D2;+0:4]=[C;H0;D2;+0:5]=[O;D1;H0:6].[C;D1;H1:7]#[C:8]-[C:9]-[NH;D2;+0:10]-[C:11]-[C:12]=[O;D1;H0:13]
UNK,[C:3]-[C:2](=[C:4]-[c:5])-[CH;D2;+0:1]=[N;H0;D2;+0:6]-[O;D1;H1:7]>>O=[CH;D2;+0:1]-[C:2](-[C:3])=[C:4]-[c:5].[NH2;D1;+0:6]-[O;D1;H1:7]
UNK,[C:7]-[O;H0;D2;+0:8]-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[C:7]-[OH;D1;+0:8]
UNK,[C:3]-[CH;D3;+0:4](-[OH;D1;+0:5])-[C;H0;D2;+0:2]#[C;D1;H1:1]>>[C;D1;H1:1]#[C;H0;D2;+0:2]-[Mg+].[C:3]-[CH;D2;+0:4]=[O;H0;D1;+0:5]
UNK,[#8:4]-[C:3](=[O;D1;H0:5])-[C:2]-[OH;D1;+0:1]>>C-C(-C)(-C)-[Si](-C)(-C)-[O;H0;D2;+0:1]-[C:2]-[C:3](-[#8:4])=[O;D1;H0:5]
UNK,[#7:5]-[C:4](=[O;D1;H0:6])-[C:2](-[c:3])=[CH;D2;+0:1]-[NH;D2;+0:7]-[c:8]>>O-[CH;D2;+0:1]=[C:2](-[c:3])-[C:4](-[#7:5])=[O;D1;H0:6].[NH2;D1;+0:7]-[c:8]
UNK,[C:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[CH2;D2;+0:5]-[C;D1;H3:4]>>C-O-N(-C)-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C;D1;H3:4]-[CH2;D2;+0:5]-[Mg+]
UNK,[#8;a:5]:[c:4]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[NH;D2;+0:6]-[c:7]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]:[#8;a:5].[NH2;D1;+0:6]-[c:7]
UNK,[#7;a:9]:[c:8]:[c;H0;D3;+0:6](:[c:7])-[c;H0;D3;+0:1]1:[c:2]:[#7;a:3]:[#7;a:4]:[c:5]:1>>Br-[c;H0;D3;+0:1]1:[c:2]:[#7;a:3]:[#7;a:4]:[c:5]:1.C-C1(-C)-O-B(-[c;H0;D3;+0:6](:[c:7]):[c:8]:[#7;a:9])-O-C-1(-C)-C
UNK,[#16;a:6]:[c:7](:[#7;a:9]:[#7;a:10])-[S;H0;D2;+0:8]-[c;H0;D3;+0:1]1:[#16;a:2]:[c:3]:[#7;a:4]:[c:5]:1>>Cl-[c;H0;D3;+0:1]1:[#16;a:2]:[c:3]:[#7;a:4]:[c:5]:1.[#16;a:6]:[c:7](-[SH;D1;+0:8]):[#7;a:9]:[#7;a:10]
UNK,[C:4]-[NH;D2;+0:5]-[CH;D3;+0:1](-[C:2])-[C;D1;H3:3]>>O=[C;H0;D3;+0:1](-[C:2])-[C;D1;H3:3].[C:4]-[NH2;D1;+0:5]
UNK,[#8:3]-[C:2](-[CH3;D1;+0:1])=[O;D1;H0:4]>>Br-[CH2;D2;+0:1]-[C:2](-[#8:3])=[O;D1;H0:4]
UNK,[C:6]-[N;H0;D3;+0:7](-[C:8])-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4]/[C:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])/[C:3]=[C:4]/[C:5].[C:6]-[NH;D2;+0:7]-[C:8]
UNK,[#7;a:6]:[c:5]:[c:4]-[CH2;D2;+0:1]-[C:2]=[O;D1;H0:3]>>C-C-O-C(=O)-[CH;D3;+0:1](-[C:2]=[O;D1;H0:3])-[c:4]:[c:5]:[#7;a:6]
UNK,[c:5]:[c;H0;D3;+0:4](:[c:6])-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].C-C1(-C)-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6])-O-C-1(-C)-C
UNK,[#7;a:3]:[c:2](-[CH2;D2;+0:1]-[O;H0;D2;+0:12]-[c:13]):[c:4]:[#8;a:5].[#8:6]-[C@@H;D3;+0:7](-[C:8])-[C:9](-[#8:10])=[O;D1;H0:11]>>Cl-[CH2;D2;+0:1]-[c:2](:[#7;a:3]):[c:4]:[#8;a:5].[#8:6]-[C@@H;D3;+0:7](-[C:8])-[C:9](-[#8:10])=[O;D1;H0:11].[OH;D1;+0:12]-[c:13]
UNK,[C:4]=[C:5]-[C:6](-[C:8]#[C;D1;H1:9])-[O;H0;D2;+0:7]-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]=[C:5]-[C:6](-[OH;D1;+0:7])-[C:8]#[C;D1;H1:9]
UNK,[#7;a:7]:[c:8]:[c:9]-[N;H0;D3;+0:10](-[C:11])-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1>>Cl-[c;H0;D3;+0:1]1:[c:2]:[c:3]:[#7;a:4]:[c:5]:[c:6]:1.[#7;a:7]:[c:8]:[c:9]-[NH;D2;+0:10]-[C:11]
UNK,[#7;a:5]:[c:4]:[c:3](:[c:6]:[#7;a:7])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:20]-[C@@H;D3;+0:19]1-[C:18]-[C:17]-[C@@H;D3;+0:16](-[#7:15]-[C:13](=[O;D1;H0:14])-[#8:12]-[C:9](-[C;D1;H3:8])(-[C;D1;H3:10])-[C;D1;H3:11])-[C:22]-[C:21]-1>>O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3](:[c:4]:[#7;a:5]):[c:6]:[#7;a:7].[C;D1;H3:8]-[C:9](-[C;D1;H3:10])(-[C;D1;H3:11])-[#8:12]-[C:13](=[O;D1;H0:14])-[#7:15]-[C@@H;D3;+0:16]1-[C:17]-[C:18]-[C@@H;D3;+0:19](-[NH2;D1;+0:20])-[C:21]-[C:22]-1
UNK,[#16:4]=[N;H0;D2;+0:5]-[C;H0;D3;+0:1](-[#7:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[#7:2])=[O;D1;H0:3].[#16:4]=[NH;D1;+0:5]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]:[c:7]:[#7;a:8]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6]:[c:7]:[#7;a:8]
UNK,[C:2]-[CH2;D2;+0:1]-[NH;D2;+0:4]-[C;D1;H3:3]>>O=[CH;D2;+0:1]-[C:2].[C;D1;H3:3]-[NH2;D1;+0:4]
UNK,[#7;a:4]:[c:3]:[c:2](-[CH2;D2;+0:1]-[N;H0;D3;+0:8](-[C:7])-[C:9]):[c:5]:[#7;a:6]>>Cl-[CH2;D2;+0:1]-[c:2](:[c:3]:[#7;a:4]):[c:5]:[#7;a:6].[C:7]-[NH;D2;+0:8]-[C:9]
UNK,[#7;a:2]:[c;H0;D3;+0:1](-[NH;D2;+0:8]-[#8:7]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]-[C:4](-[#8:5])=[O;D1;H0:6].[#8:7]-[NH2;D1;+0:8]
UNK,[#7;a:4]:[c:3]-[CH2;D2;+0:1]-[OH;D1;+0:2]>>C-O-[C;H0;D3;+0:1](=[O;H0;D1;+0:2])-[c:3]:[#7;a:4]
UNK,[C:2]-[CH;D3;+0:1](-[C:3])-[NH;D2;+0:5]-[C;D1;H3:4]>>O=[C;H0;D3;+0:1](-[C:2])-[C:3].[C;D1;H3:4]-[NH2;D1;+0:5]
UNK,[N;D1;H2:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[N;D1;H2:4]-[NH2;D1;+0:5]
UNK,[#7;a:6]:[c:5](:[#7;a:7]:[#7;a:8]):[c;H0;D3;+0:1](-[NH;D2;+0:10]-[C:9]):[c:2]:[c:3]:[#7;a:4]>>Cl-[c;H0;D3;+0:1](:[c:2]:[c:3]:[#7;a:4]):[c:5](:[#7;a:6]):[#7;a:7]:[#7;a:8].[C:9]-[NH2;D1;+0:10]
UNK,[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]-[N;H0;D3;+0:6](-[C:5])-[C:7]>>C-S(=O)(=O)-O-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4].[C:5]-[NH;D2;+0:6]-[C:7]
UNK,[C:4]-[NH;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>C-C(=O)-O-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[NH2;D1;+0:5]
UNK,[C;D1;H3:4]-[S;H0;D2;+0:5]-[c;H0;D3;+0:1](:[c:2]):[c:3]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3].[C;D1;H3:4]-[S-;H0;D1:5]
UNK,[O-;H0;D1:1]-[n+;H0;D3:5](:[c:6]):[c:4]-[C:3]=[O;D1;H0:2]>>Cl-c1:c:c:c:c(-C(=O)-O-[OH;D1;+0:1]):c:1.[O;D1;H0:2]=[C:3]-[c:4]:[n;H0;D2;+0:5]:[c:6]
UNK,[C:5]-[N;H0;D3;+0:6](-[C:7])-[CH2;D2;+0:1]-[C:2]-[C:3]=[C:4]>>Br-[CH2;D2;+0:1]-[C:2]/[C:3]=[C:4].[C:5]-[NH;D2;+0:6]-[C:7]
UNK,[c:1]-[CH2;D2;+0:2]-[NH;D2;+0:3]-[c:4]>>[c:1]-[CH;D2;+0:2]=[N;H0;D2;+0:3]-[c:4]
UNK,[#7;a:5]:[c:4]:[c:3]:[c;H0;D3;+0:1](:[#7;a:2])-[O;H0;D2;+0:6]-[c:7]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3]:[c:4]:[#7;a:5].[OH;D1;+0:6]-[c:7]
UNK,[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[NH;D2;+0:5]-[C:6]>>[#8:1]-[C:2](=[O;D1;H0:3])-[C:4]-[N;H0;D3;+0:5](-[C:6])-C-c1:c:c:c:c:c:1
UNK,[S;D1;H0:3]=[C;H0;D3;+0:4](-[NH;D2;+0:1]-[c:2])-[NH;D2;+0:5]-[c:6]>>[NH2;D1;+0:1]-[c:2].[S;D1;H0:3]=[C;H0;D2;+0:4]=[N;H0;D2;+0:5]-[c:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C:4]-[NH;D2;+0:5]-[C:6]
UNK,[#8:3]-[C@H;D3;+0:4]1-[C:5]-[#7:6]-[C:7]-[C@@H;D3;+0:8](-[O;H0;D2;+0:9]-[CH2;D2;+0:1]-[C:2])-[C@@H;D3;+0:10]-1-[c:11]>>Br-[CH2;D2;+0:1]-[C:2].[#8:3]-[C@H;D3;+0:4]1-[C:5]-[#7:6]-[C:7]-[C@@H;D3;+0:8](-[OH;D1;+0:9])-[C@@H;D3;+0:10]-1-[c:11]
UNK,[#7;a:11]:[c:10]:[c:9]1:[c:7](:[#7;a:8]):[#7;a:6]:[c:5]:[c;H0;D3;+0:4]:1-[c;H0;D3;+0:1](:[c:2]):[c:3]>>C-C1(-C)-O-B(-[c;H0;D3;+0:1](:[c:2]):[c:3])-O-C-1(-C)-C.I-[c;H0;D3;+0:4]1:[c:5]:[#7;a:6]:[c:7](:[#7;a:8]):[c:9]:1:[c:10]:[#7;a:11]
UNK,[C:4]-[O;H0;D2;+0:5]-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[C:4]-[OH;D1;+0:5]
UNK,[#7:4]-[C@@H;D3;+0:5]1-[C:6]-[C:7]-[N;H0;D3;+0:8](-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3])-[C:9]-1>>Cl-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[#7:4]-[C@@H;D3;+0:5]1-[C:6]-[C:7]-[NH;D2;+0:8]-[C:9]-1
UNK,[#7;a:4]:[c:3]-[C;H0;D3;+0:1](=[O;D1;H0:2])-[NH;D2;+0:6]-[C:5]>>C-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3]:[#7;a:4].[C:5]-[NH2;D1;+0:6]
UNK,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[O;H0;D2;+0:8]-[C:5](-[C;D1;H3:4])(-[C;D1;H3:6])-[C;D1;H3:7]>>F-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].[C;D1;H3:4]-[C:5](-[C;D1;H3:6])(-[C;D1;H3:7])-[O-;H0;D1:8]
